CD Number,Title,Description (Summary),Notes,Links,Terms of Use,Data creator,Date of collection,Date of creation,Geography,Subjects,Year of creation (start),Year of creation (end),Cartographer,Copyright Holder,Date edited,Data Type,Datum,Edition,Formal Metadata,Place of publication,Projection,Publisher,Require acknowledgement to use,Require Permission to Use,Scale,Temporal extent
001,Geological Map of Canada,"This CD-ROM has been created as a companion to the 1996 printed Geological Map of Canada (Map 1860A). The CD-ROM is not just a digital version of Map 1860A: it contains a complete bilingual GIS spatial database from which a variety of thematic geological maps can be created. Map 1860A is just one of those themes. Included on the CD-ROM are all of the Arc/Info files used in the production of the printed map, including a bilingual database. In addition, the data is provided in several common interchange formats (*.E00, *.SHP). This CD-ROM also includes a limited edition of SurView, a viewing application for Microsoft Windows, developed at the Geological Survey of Canada and originally released as GSC Open File 2661. Surview can display, print, and query the *.SHP files. This provides an opportunity for those without specialized GIS software to delve into the realm of digital geoscience data and explore the new Geological Map of Canada on their own PC",,,"Restricted to U of T faculty, staff, and students.","Douglas, Robert John Wilson, Geological Survey of Canada",,1997,CANADA (ENTITY),GEOLOGY,1997,,"Douglas, Robert John Wilson, Geological Survey of Canada",Natural Resources Canada,,Raster; Vector,,,,Ottawa,,Natural Resources Canada,Citation,None,,1997
002,Digital Soil Map of the World and Derived Soil Properties,Consists of ten map sheets,,,Publicly accessible,FAO and UNESCO,,1995,WORLD (ENTITY),SOILS,1995,,FAO and UNESCO,FAO and UNESCO,,Raster; Vector,Spherical,,,,Geographic,FAO,None,None,1:5000000,1995
003,Global GIS Database: Digital Atlas of Africa,"The Digital Data Series encompasses a broad range of digital data, including computer programs, interpreted results of investigations, comprehensive reviewed data bases, spatial data sets, digital images and animation, and multimedia presentations that are not intended for printed release. Scientific reports in this series cover a wide variety of subjects on all facets of U.S. Geological Survey investigations and research that are of lasting scientific interest and value. Releases in the Digital Data Series offer access to scientific information that is available in digital form; the information is primarily for viewing, processing, and (or) analyzing by comput",,,"Restricted to U of T faculty, staff, and students.",United States Geological Survey,,2001,AFRICA,BASE MAPS; BOUNDARIES - POLITICAL; CENSUS; CLIMATE; CULTURAL; HIGHWAYS; HYDROGRAPHY; HYPSOGRAPHY; LAND USE; PLACENAMES; TOPOGRAPHY; TRANSPORTATION; VEGETATION,2001,,United States Geological Survey,United States Geological Survey,,SHAPEFILE,,Digital Data Series DDS-62-B,,,,United States Geological Survey,Citation,None,1:1000000,2001
004,Digital Cartographic Reference Base Ver 2.0,"Description of Data Set: Intergraph Microstation Graphic Design Files of Southern Ontario (no topology): single line roads; drainage; text - city/towns, etc.; administrative boundaries. Current Applications of the Data Set: To create medium and small scale cartographic products (road maps, etc.). To be used as an electronic index map to link various transportation related data bases within the ministry. Part of the integrated Highway Information System. Part of a larger data set or linked to other geographical or non-geographical information or relevant legislation: To create medium and small scale cartographic products (road maps, etc.). To be used as an electronic index map to link various transportation related data bases within the ministry. Part of the integrated Highway Information System. Variables and Attributes or Group of Attributes: Type of roads; Classification of populated entities; Railway/Airport Service; Ontario Provincial Police (OPP) Stations; Park Types. NAD DCRB:",,,"Restricted to U of T faculty, staff, and students.","Geomatics Office, Ontario Ministry of Transportation",,2001,ONTARIO,BASE MAPS; BOUNDARIES - POLITICAL; HIGHWAYS; PARKS; PLACENAMES; POLICE; POLITICAL; RAILROADS; RECREATION,,,,Ontario Ministry of Transportation,,Vector,,2,,,,Ontario Ministry of Transportation,Citation,None,,2001
005,Digital Cartographic Reference Base Ver 3.0,"Description of Data Set: Intergraph Microstation Graphic Design Files of Southern Ontario (no topology): single line roads; drainage; text - city/towns,etc.; administrative boundaries.

Current Applications of the Data Set: To create medium and small scale cartographic products (road maps, etc.). To be used as an electronic index map to link various transportation related data bases within the ministry. Part of the integrated Highway Information System. Part of a larger data set or linked to other geographical or non-geographical information or relevant legislation: To create medium and small scale cartographic products (road maps,etc.). To be used as an electronic index map to link various transportation related data bases within the ministry. Part of the integrated HighwayInformation System.

Variables and Attributes or Group of Attributes: Type of roads; Classification of populated entities; Railway/Airport Service; Park Types; Ontario Provincial Police (OPP) Stations. ",,,"Restricted to U of T faculty, staff, and students.","Geomatics Office, Ontario Ministry of Transportation",,1993,ONTARIO,BASE MAPS; BOUNDARIES - POLITICAL; HIGHWAYS; PARKS; PLACENAMES; POLICE; POLITICAL; RAILROADS; RECREATION,,,,Ontario Ministry of Transportation,,E00,,3,,,,Ontario Ministry of Transportation,None,None,,2001
006,Global GIS Database: Digital Atlas of South Asia,"The Digital Data Series encompasses a broad range of digital data, including computer programs, interpreted results of investigations, comprehensive reviewed data bases, spatial data sets, digital images and animation, and multimedia presentations that are not intended for printed release. Scientific reports in this series cover a wide variety of subjects on all facets of U.S. Geological Survey investigations and research that are of lasting scientific interest and value. Releases in the Digital Data Series offer access to scientific information that is available in digital form; the information is primarily for viewing, processing, and (or) analyzing by computer",,,"Restricted to U of T faculty, staff, and students.",United States Geological Survey,,2001,ASIA; SOUTH ASIA,BASE MAPS; BOUNDARIES - POLITICAL; CENSUS; CLIMATE; CULTURAL; HIGHWAYS; HYDROGRAPHY; HYPSOGRAPHY; LAND USE; PLACENAMES; TOPOGRAPHY; TRANSPORTATION; VEGETATION,2001,,United States Geological Survey,United States Geological Survey,,SHAPEFILE,,Digital Data Series DDS-62-C,,,,United States Geological Survey,Citation,None,1:1000000,2001
007,Global GIS Database: Digital Atlas of South Pacific,"The Digital Data Series encompasses a broad range of digital data, including computer programs, interpreted results of investigations, comprehensive reviewed data bases, spatial data sets, digital images and animation, and multimedia presentations that are not intended for printed release. Scientific reports in this series cover a wide variety of subjects on all facets of U.S. Geological Survey investigations and research that are of lasting scientific interest and value. Releases in the Digital Data Series offer access to scientific information that is available in digital form; the information is primarily for viewing, processing, and (or) analyzing by computer",,,"Restricted to U of T faculty, staff, and students.",United States Geological Survey,,2001,SOUTH PACIFIC,BASE MAPS; BOUNDARIES - POLITICAL; CENSUS; CLIMATE; CULTURAL; HIGHWAYS; HYDROGRAPHY; HYPSOGRAPHY; LAND USE; PLACENAMES; TOPOGRAPHY; TRANSPORTATION; VEGETATION,2001,,United States Geological Survey,United States Geological Survey,,SHAPEFILE,,Digital Data Series DDS-62-D,https://library.utoronto.ca/dataut/maplib/GGDB_SPacific/,,,United States Geological Survey,Citation,None,1:1000000,2001
008,Global GIS Database: Digital Atlas of Central and South America,"The Digital Data Series encompasses a broad range of digital data, including computer programs, interpreted results of investigations, comprehensive reviewed data bases, spatial data sets, digital images and animation, and multimedia presentations that are not intended for printed release. Scientific reports in this series cover a wide variety of subjects on all facets of U.S. Geological Survey investigations and research that are of lasting scientific interest and value. Releases in the Digital Data Series offer access to scientific information that is available in digital form; the information is primarily for viewing, processing, and (or) analyzing by computer",,,"Restricted to U of T faculty, staff, and students.",United States Geological Survey,,2001,CENTRAL AMERICA; SOUTH AMERICA,BASE MAPS; BOUNDARIES - POLITICAL; CLIMATE; CULTURAL; HIGHWAYS; HYDROGRAPHY; HYPSOGRAPHY; PLACENAMES; RAILROADS; TOPOGRAPHY; TRANSPORTATION; VEGETATION,2001,,United States Geological Survey,United States Geological Survey,,SHAPEFILE,,Digital Data Series DDS-62-A,,,,United States Geological Survey,Citation,None,1:1000000,2001
009,Boulton Atlas of Toronto 1858,,,,,W.S. & H.C. Boulton.,,,,,,,,,,,,,,,,,,,,
010,Mapart Canada Street Locator,"Containing full-colour, detailed maps of more than 100 000 streets, the Canada Street Locator CD-ROM is an excellent resource for people who travel in Canada. Providing street level detail for every community in Canada with a population of 30 000 or more, the CD also indicates points of interest (with address and telephone information) and contains a full database of schools, hotels, shopping centres and more. The CD enables the user to print in colour or black and white, cut and paste maps into documents, e-mail and invitations, draw routes and measure distances, zoom in and out, and even create your own geographical database of friends, businesses and places to visit.",,,"Restricted to U of T faculty, staff, and students.",Mapart,,2000,CANADA (ENTITY); CANADA (INCLUSIVE),GEOGRAPHICAL NAMES; HOSPITALS; ROADS; STREETS; THEMATIC MAPPING; TOURISM,,,,,,Raster,,,,Oshawa,,Mapart,Citation,None,,2000
011,Mapart Ontario Streets on CD-ROM,"The Ontario Streets CD-ROM is a comprehensive mapping program that gives the user great versatility in finding streets and services information anywhere in Ontario. The extensive data base containing the locations of specific streets, public services, schools, and entertainment facilities enables the user to find specific places and plan a travel agenda. There is a detailed map of downtown Toronto, including the underground pedestrian/shopping system. Also, included is a GO Transit system map and a TTC Subway map. Maps may be custom edited, with symbols or points of interest. It is possible to determine distances and determine travel routes by drawing on the map from the point of departure to the final destination. The toolbar makes interaction with the maps easy, allowing the user to query the database, highlight points of interest, measure distances, navigate around the current map and more. A locator map window provides a small scale view of the area being studied.",,,"Restricted to U of T faculty, staff, and students.",Mapart,,,ONTARIO,BOUNDARIES; MAPS; ADDRESSES; PARKS; RAIL TRANSIT; ROADS; STREETS; TOURISM; TRANSIT,,,,Mapart,,Vector,,,,Oshawa,,,Citation,None,,
012,Africa Data Sampler,,With accompanying text,,"Restricted to U of T faculty, staff, and students.",World Conservation Monitoring Centre and Food and Agriculture Organization of the United Nations,,1992 to 1995,AFRICA,AGRICULTURE; BASE MAPS; CENSUS; CLIMATE; CULTURAL; FOOD; HIGHWAYS; RAILROADS; STREETS; TOPOGRAPHY; VEGETATION,1992,1995,World Conservation Monitoring Centre and Food and Agriculture Organization of the United Nations,World Resource Institute,,Vector,,,http://pdf.usaid.gov/pdf_docs/PNACR128.pdf,"Washington, DC, USA",Robinson,World Resources Institute,Citation,None,,1992 to 1995
013,Mapart Toronto & Area CD-ROM Atlas,"MapArt has been producing electronic versions of their printed map products on CD-ROM, with software produced by Dun-Map, since 1996. The first CD, the Toronto & Area atlas, was an innovative product for the Toronto market when introduced, being the first CD to offer full-colour, searchable maps of the GTA.",,,"Restricted to U of T faculty, staff, and students.",Mapart,,1999,GOLDEN HORSESHOE; TORONTO,ADDRESSES; BOUNDARIES; BUS; FINANCIAL INSTITUTIONS; GEOGRAPHICAL NAMES; HIGHWAYS; MAPS; ROADS; STREETS; TRAILS; TRAIN; TRANSIT,,,,Mapart,,Vector,,,,Oshawa,,Mapart,Citation,None,,1999
014,Gas & Power Infrastructure Map of Europe,"Covers an area from Ireland in the west to Finland in the east and from the Norwegian Sea in the north to Malta in the south- Gas/condensate fields and pipelines, plus underground storage facilities and LNG import terminals and export plants- Thermal power stations >200 MW, hydro power stations >50 MW, and IPPs (gas-fired) including those in operation and planned- Power transmission lines above 300 kV, Hvdc overhead lines/cables, power lines and Hvdc lines under construction are also shown and converter stations, both in operation and under construction- Tables providing details of IPPs in operation and under development, gas production and reserves, electricity generation by country, consumption per capita, physical electricity exchanges, trends in brent crude, UK NBP gas and electricity prices.",,,"Restricted to U of T faculty, staff, and students.","Andersen, Arthur",,,EUROPE,GAS; PIPELINES; THEMATIC MAPPING; THERMAL POWER; TRANSMISSION LINES; UTILITIES,,,"Andersen, Arthur",Petroleum Economist,,Vector,,,,London,,Petroleum Economist,Citation,None,,
015,"Digital Elevation Model of the Greater Toronto Area, Southern Ontario Bathymetry",A hydrologically conditioned Digital elevation Model has been developed for the Greater Toronto Area of southern Ontario and for Lake Ontario. The model has been developed from 1:50 000 NTDB data onshore and Canadian Hydrographic Service bathymetric point data for Lake Ontario. Terrain specific interpolation and drainage enforcement techniques within the ARC/INFO TOPOGRID software module were used to interpolate the data to a gred cell of 30m. Verification of the model demonstrates that elevations are correct to plus or minus 3m. This digital elevation model is suitable for the automatic delineation of watersheds. This report documents the development of the model included on this compact disc. The model was developed as part of the Geological Survey of Canada Oak Ridges Moraine National Mapping and Hydrogeology programs in conjunction with the Ontario Ministry of Natural Resources and the Canadian Hydrographic Service. ; 3 metre accuracy,,,"Restricted to U of T faculty, staff, and students.","Natural Resources Canada, Geological Survey of Canada (Paquette, Russell, Moore, and Hinton)",,1999,ONTARIO; TORONTO,BATHYMETRY; DIGITAL ELEVATION MODEL; HYDROLOGY,1999,,"Natural Resources Canada, Geological Survey of Canada (Paquette, Russell, Moore, and Hinton)",Natural Resources Canada,,Raster; Vector,NAD,,,Ottawa,UTM Zone 17,"Natural Resources Canada, Geological Survey of Canada",Citation,None,1:50000 or 30 metre,1999
016,ArcCanada (1999) - Schools & Libraries Edition 2.0,"The ArcCanada Schools & Libraries CD-ROM contains a collection of a wide range of Canadian statistical, political, physical, and cartographic data at three scale levels. National level data includes cartographic layers, the land potential database, ecological zones and regions, earthquakes and fault lines, census divisions and statistical information at a variety of scales. Provincial level data includes cartographic layers, soil landscape information, geological layers, digital elevation models, and statistical information at the census subdivision level.

The CD-ROM also contains continental scale geology information, a local scale example of Kingston, ON as well as other utilities and software.",Disc 1 of 2,,"Restricted to U of T faculty, staff, and students.",ESRI Canada Inc.,,1999,CANADA (INCLUSIVE),AERODROMES; BASE MAPS; BOUNDARIES - POLITICAL; CENSUS; CULTURAL; HIGHWAYS; HYDROGRAPHY; LAND USE; PLACENAMES; PROVINCES - CANADA; RAILROADS; ROADS; SOILS; STREETS; UTILITIES; VEGETATION,,,,ESRI Canada,,SHAPEFILE,,2,,Toronto,,ESRI Canada,Citation,None,,1999
017,ArcCanada (1999) - Schools & Libraries Edition 2.0,"The ArcCanada Schools & Libraries CD-ROM contains a collection of a wide range of Canadian statistical, political, physical, and cartographic data at three scale levels. National level data includes cartographic layers, the land potential database, ecological zones and regions, earthquakes and fault lines, census divisions and statistical information at a variety of scales. Provincial level data includes cartographic layers, soil landscape information, geological layers, digital elevation models, and statistical information at the census subdivision level.

The CD-ROM also contains continental scale geology information, a local scale example of Kingston, ON as well as other utilities and software.",Disc 2 of 2,,"Restricted to U of T faculty, staff, and students.",ESRI Canada Inc.,,1999,CANADA (INCLUSIVE),AERODROMES; BASE MAPS; BOUNDARIES - POLITICAL; CENSUS; CULTURAL; HIGHWAYS; HYDROGRAPHY; LAND USE; PLACENAMES; PROVINCES - CANADA; RAILROADS; ROADS; SOILS; STREETS; UTILITIES; VEGETATION,,,,ESRI Canada,,SHAPEFILE,,2,,Toronto,,ESRI Canada,Citation,None,,1999
018-1,Surficial Geology of Southern Toronto - (including Toronto),"The Surficial Geology of Southern Ontario data set is a GIS based geological map that shows the distribution and characteristics of surficial units across Southern Ontario. It illustrates surficial deposits types, material types, geological features (i.e. drumlins, eskers) and general bedrock types and outcrops. The data used to generate the map was derived from Quaternary maps, primarily at a scale of 1:50,000, complied by the Ontario Geological Survey (OGS) and the Geological Survey of Canada (GSC) over the last 40 years. A total of 124 maps (36 belonging to the GSC) create this seamless coverage. (From: metadata page provided by Ministry of Northern Development and Mines)The data is available on 2 CD-ROMs. CD 1 contains a complete set of data in geographic co-ordinates (decimal degrees, NAD 83); CD 2 contains the same information but in UTM, grid zones 17 and 18; and a pdf file of the Surficial Geology of Ontario map. Both CDs have a raster dataset (hillshade image) in jpeg format.Also available via Land Information Ontario's OGDE server.Also contains soils for Toronto",Disc 1 of 2,,"Restricted to U of T faculty, staff, and students.",Ontario Geological Survey,,2003,ONTARIO; TORONTO,GEOLOGY; SOILS,,,,,,Vector,,Miscellaneous Release Data 128,,,,Ontario Geological Survey,Citation,None,,2003
018-2,Surficial Geology of Southern Toronto - (including Toronto),"The Surficial Geology of Southern Ontario data set is a GIS based geological map that shows the distribution and characteristics of surficial units across Southern Ontario. It illustrates surficial deposits types, material types, geological features (i.e. drumlins, eskers) and general bedrock types and outcrops. The data used to generate the map was derived from Quaternary maps, primarily at a scale of 1:50,000, complied by the Ontario Geological Survey (OGS) and the Geological Survey of Canada (GSC) over the last 40 years. A total of 124 maps (36 belonging to the GSC) create this seamless coverage. (From: metadata page provided by Ministry of Northern Development and Mines)The data is available on 2 CD-ROMs. CD 1 contains a complete set of data in geographic co-ordinates (decimal degrees, NAD 83); CD 2 contains the same information but in UTM, grid zones 17 and 18; and a pdf file of the Surficial Geology of Ontario map. Both CDs have a raster dataset (hillshade image) in jpeg format.Also available via Land Information Ontario's OGDE server.Also contains soils for Toronto",Disc 2 of 2,,"Restricted to U of T faculty, staff, and students.",Ontario Geological Survey,,2003,ONTARIO; TORONTO,GEOLOGY; SOILS,,,,,,Vector,,Miscellaneous Release Data 128,,,,Ontario Geological Survey,Citation,None,,2003
019,Electoral Geography - Digital Boundary File of Federal Electoral Districts,CD-ROM of all Federal Electoral Districts for all the province,,,"Restricted to U of T faculty, staff, and students.",Elections Canada,,1999,CANADA (ENTITY); CANADA (INCLUSIVE),BOUNDARIES - POLITICAL,,,,Elections Canada,,Vector,,,,,,Elections Canada,None,None,,1996 to 2003
020,Toronto Region Conservation Authority,,,https://utoronto.sharepoint.com/sites/UTL-MDL-LicensedDataAndSoftware/TRCA,"Restricted to U of T faculty, staff, and students.",Toronto Region Conservation Authority,,2003,TORONTO,CONSERVATION AUTHORITY; HYDROGRAPHY; MUNICIPALITIES; ROADS; WETLANDS,2003,,Toronto Region Conservation Authority,Toronto Region Conservation Authority,,Vector,,2003,,,,Toronto Region Conservation Authority,Written,None,,2003
021,"Toronto Base Maps, Metro","This series was created to provide hard copy maps for the Ontario Base Mapping OBM program covering the Metro Toronto Region. Each map covers an area of 25 sq. km and shows topographic features with 5 metre contours. Buildings less than 100 sq. m. are symbolized, others are shown in outline, roads are pavement edges. 1 km. grid lines are of the Ontario Modified Transverse Mercator Projection. Original city dataset can be found here: http://prod.library.utoronto.ca/maplib/metro/index.html",,,"Restricted to U of T faculty, staff, and students.",Land Information Toronto,,2002,TORONTO,AIRPORTS; BASE MAPS; BOUNDARIES - POLITICAL; BUILDINGS - FOOTPRINTS; BUILDINGS - POINTS; CONTOURS; HIGHWAYS; HYDROGRAPHY; HYPSOGRAPHY; LAND USE; PLACENAMES; RAILROADS; STREETS; TOPOGRAPHY; TRAILS; TRANSPORTATION; UTILITIES; WETLANDS,2002,,Land Information Toronto,City of Toronto,,SHAPEFILE,NAD27,,,Toronto,MTM Zone 10,Land Information Toronto,Citation,None,1:10000,1982 to 1986
022,Dynmap Canada - ArcView Format,"Street network file of all of Canada and Forward Sortation Areas. Data from CD #022, 024, 028 & 029 are backed up on U drive on April 20th 2010.","See also CD # 024, 028 & 029",,"Restricted to U of T faculty, staff, and students.",Geographic Data Technology (GDT),,2002,CANADA (INCLUSIVE),BOUNDARIES - POLITICAL; CENSUS; STREETS,,,,GDT Canada,,Vector,,v6.2,,,,Geographic Data Technology (GDT),Citation,None,,2002
023,Digital Property Data Maps,"Requests must be made to map library staff at above email address and a licence agreement signed. Combines topography and parcel mapping. The series provides a base for thematic mapping services and other published hardcopy products.Depicts the following features: building envelopes, building outlines, railway lines, major watercourses, municipal addresses, curbs, park names, street names, property lines, right of way, boundaries, etc.",,,"Restricted to U of T faculty, staff, and students.",City of Toronto,,1998,TORONTO,ADDRESSES; BOUNDARIES; BUILDING OUTLINES; GEOGRAPHICAL NAMES; HISTORICAL; LAND OWNERSHIP; MAPS; PARKS; PROPERTY BOUNDARIES; RAIL TRANSIT; RAILROADS; STREETS; WATER,1998,,City of Toronto,,,Vector,,,,,,City of Toronto,Written,None,,1998
024,Dynamap Canada - Forward Sortation Area Boundaries,"Street network file of all of Canada and Forward Sortation Areas. Data from CD #022, 024, 028 & 029 are backed up on U drive on April 20th 2010.","See also CD # 022, 028 & 029",,"Restricted to U of T faculty, staff, and students.",Geographic Data Technology (GDT),,2002,CANADA (INCLUSIVE),BOUNDARIES - POLITICAL; CENSUS; STREETS,,,,GDT Canada,,Vector,,v6.2,,,,Geographic Data Technology (GDT),Citation,None,,2002
025,Montreal Orthophotos,,,,"Restricted to U of T faculty, staff, and students.",Ministere des ressources naturelles du Quebec,,1999,MONTREAL; QUEBEC,AIR PHOTOS; AIR PHOTOS - BLACK AND WHITE - ORTHORECTIFIED,1999,,Ministere des ressources naturelles du Quebec,Ministère des ressources naturelles du Québec,,Raster,NAD83,,,Quebec,CSRS98 MTM8,Ministere des ressources naturelles du Quebec,Citation,None,"1 meter / 1:40,000",1999
026,"Teranet Ontario Parcel Data - Durham, Halton, Peel, Toronto, York","To request access, if you are a current U of T student, staff, or faculty, please contact us.

Contains:
1) Basic property report correlating the ownership PIN to the assessment roll number.2)Digital property ownership parcel polygons, attributed with the 9-digit PIN, comprising the area of the regions in shapefile format.",Disc 1 of 2,https://utoronto.sharepoint.com/sites/UTL-MDL-LicensedDataAndSoftware/Teranet,"Restricted to U of T faculty, staff, and students.",Teranet,,2002,DURHAM COUNTY; HALTON COUNTY; ONTARIO; PEEL COUNTY; TORONTO; WATERLOO COUNTY; YORK COUNTY,LAND USE; PARCELS; PROPERTY BOUNDARIES,,,,Teranet,,Vector,,2002,,Toronto,,Teranet,Citation,None,,2002
027,Teranet Ontario Parcel Data - Basic Reports,"To request access, if you are a current U of T student, staff, or faculty, please contact us.

Contains:
1) Basic property report correlating the ownership PIN to the assessment roll number.2)Digital property ownership parcel polygons, attributed with the 9-digit PIN, comprising the area of the regions in shapefile format.",Disc 2 of 2,https://utoronto.sharepoint.com/sites/UTL-MDL-LicensedDataAndSoftware/Teranet,"Restricted to U of T faculty, staff, and students.",Teranet,,2002,DURHAM COUNTY; HALTON COUNTY; ONTARIO; PEEL COUNTY; TORONTO; WATERLOO COUNTY; YORK COUNTY,LAND USE; PARCELS; PROPERTY BOUNDARIES,,,,Teranet,,Vector,,2002,,Toronto,,Teranet,Citation,None,,2002
028,Dynamap Canada - Documentation,"Street network file of all of Canada and Forward Sortation Areas. Data from CD #022, 024, 028 & 029 are backed up on U drive on April 20th 2010.","See also CD # 022, 024 & 029",,"Restricted to U of T faculty, staff, and students.",Geographic Data Technology (GDT),,2002,CANADA (INCLUSIVE),BOUNDARIES - POLITICAL; CENSUS; STREETS,,,,GDT Canada,,Vector,,v6.2,,,,Geographic Data Technology (GDT),Citation,None,,2002
029,Dynamap Canada - Census Enumeration Areas,"Street network file of all of Canada and Forward Sortation Areas. Data from CD #022, 024, 028 & 029 are backed up on U drive on April 20th 2010.","See also CD # 022, 024 & 028",,"Restricted to U of T faculty, staff, and students.",Geographic Data Technology (GDT),,2002,CANADA (INCLUSIVE),BOUNDARIES - POLITICAL; CENSUS; STREETS,,,,GDT Canada,,Vector,,v6.2,,,,Geographic Data Technology (GDT),Citation,None,,2002
030,"City of London, Ontario, Digital Mapping CD","CD-Rom contains:



1) Assessed Parcel mapping

2) City map - double line

3) City map - single line

4) Orthoimagery

5) Topographic features and 3d data (spot heights and contours)",,,"Restricted to U of T faculty, staff, and students.",City of London,,2000,LONDON (ONTARIO),AIR PHOTOS; AIR PHOTOS - BLACK AND WHITE - ORTHORECTIFIED; CONTOURS; ELEVATION; PARCELS; PROPERTY BOUNDARIES; ROADS; STREETS,2000,,City of London,City of London,,Raster; Vector,,2000,https://london.ca/business/Resources/Consultant-Resources/Pages/GISDataRequest.aspx,"London, Ontario",,City of London,Citation,None,various,2000
031,Historic Parishes of England and Wales - Documentation,"The Electronic Map covers the whole of England and Wales, and is organised by Ordnance Survey Sheet number. The map consists of scanned bitmap images of the Ordnance Survey one inch to the mile (1:63,360) New Popular Edition maps (1945-8) with National Grid. It contains the boundaries of some 18,233 places, and is arranged as three electronic 'layers'. The first is a scan of the Ordnance Survey maps stored as grey tone sheet images. This enables Ordnance Survey physical, cultural and place-name content to be readily visible in the background for orientation and general location purposes, while not obscuring the added boundary and reference number material. The second layer consists of the boundaries, stored as solid red lines; and the third layer contains the reference numbers that link places on the map to the gazetteer/metadata dataset that accompanies the maps.The maps are available on CD-ROM in Adobe Illustrator? v.6 (?45 plus P&P) or Adobe Acrobat PDF? (?15 plus P&P). Adobe Illustrator format is recommended if you already have the software (as it enables you to edit the maps and select the layers to view). However, the Adobe Acrobat PDF format is perfectly suitable for viewing the maps, and the the necessary reader software will be supplied.

",Disc 1 of 9,,"Restricted to U of T faculty, staff, and students.","Kain, R.J. and R.R. Oliver",,2001,ENGLAND; WALES,BASE MAPS; BOUNDARIES; BOUNDARIES - POLITICAL; GAZETTEERS; HISTORICAL; MAPS; METADATA; PHYSIOGRAPHY; PLACENAMES,,,,Historic Data Service,,Vector,,2001,,Colchester,,Historic Data Service,Citation,None,,1945 to 1948
032,Historic Parishes of England and Wales - Sheets 64-90,"The Electronic Map covers the whole of England and Wales, and is organised by Ordnance Survey Sheet number. The map consists of scanned bitmap images of the Ordnance Survey one inch to the mile (1:63,360) New Popular Edition maps (1945-8) with National Grid. It contains the boundaries of some 18,233 places, and is arranged as three electronic 'layers'. The first is a scan of the Ordnance Survey maps stored as grey tone sheet images. This enables Ordnance Survey physical, cultural and place-name content to be readily visible in the background for orientation and general location purposes, while not obscuring the added boundary and reference number material. The second layer consists of the boundaries, stored as solid red lines; and the third layer contains the reference numbers that link places on the map to the gazetteer/metadata dataset that accompanies the maps.The maps are available on CD-ROM in Adobe Illustrator? v.6 (?45 plus P&P) or Adobe Acrobat PDF? (?15 plus P&P). Adobe Illustrator format is recommended if you already have the software (as it enables you to edit the maps and select the layers to view). However, the Adobe Acrobat PDF format is perfectly suitable for viewing the maps, and the the necessary reader software will be supplied.

",Disc 2 of 9,,"Restricted to U of T faculty, staff, and students.","Kain, R.J. and R.R. Oliver",,2001,ENGLAND; WALES,BASE MAPS; BOUNDARIES; BOUNDARIES - POLITICAL; GAZETTEERS; HISTORICAL; MAPS; METADATA; PHYSIOGRAPHY; PLACENAMES,,,,Historic Data Service,,Vector,,2001,,Colchester,,Historic Data Service,Citation,None,,1945 to 1948
033,Historic Parishes of England and Wales - Sheets 91-103,"The Electronic Map covers the whole of England and Wales, and is organised by Ordnance Survey Sheet number. The map consists of scanned bitmap images of the Ordnance Survey one inch to the mile (1:63,360) New Popular Edition maps (1945-8) with National Grid. It contains the boundaries of some 18,233 places, and is arranged as three electronic 'layers'. The first is a scan of the Ordnance Survey maps stored as grey tone sheet images. This enables Ordnance Survey physical, cultural and place-name content to be readily visible in the background for orientation and general location purposes, while not obscuring the added boundary and reference number material. The second layer consists of the boundaries, stored as solid red lines; and the third layer contains the reference numbers that link places on the map to the gazetteer/metadata dataset that accompanies the maps.The maps are available on CD-ROM in Adobe Illustrator? v.6 (?45 plus P&P) or Adobe Acrobat PDF? (?15 plus P&P). Adobe Illustrator format is recommended if you already have the software (as it enables you to edit the maps and select the layers to view). However, the Adobe Acrobat PDF format is perfectly suitable for viewing the maps, and the the necessary reader software will be supplied.

",Disc 3 of 9,,"Restricted to U of T faculty, staff, and students.","Kain, R.J. and R.R. Oliver",,2001,ENGLAND; WALES,BASE MAPS; BOUNDARIES; BOUNDARIES - POLITICAL; GAZETTEERS; HISTORICAL; MAPS; METADATA; PHYSIOGRAPHY; PLACENAMES,,,,Historic Data Service,,Vector,,2001,,Colchester,,Historic Data Service,Citation,None,,1945 to 1948
