Seq#,Date acq.,Title,Data producer/creator,Notes,
52,2004,"International financial statistics, February 2004",International Monetary Fund,,
53,2004,"International financial statistics, March 2004",International Monetary Fund,,
54,2004,"International financial statistics, April 2004",International Monetary Fund,,
55,2004,"International financial statistics, May 2004",International Monetary Fund,,
56,2004,"International financial statistics, June 2004",International Monetary Fund,,
57,2004,"International financial statistics, July 2004",International Monetary Fund,,
58,2004,"International financial statistics, August 2004",International Monetary Fund,,
59,2005,"International financial statistics, December 2004",International Monetary Fund,,
60,2005,"International financial statistics, January 2005",International Monetary Fund,,
61,2005,"International financial statistics, February 2005",International Monetary Fund,,
62,2005,"International financial statistics, March 2005",International Monetary Fund,,
63,2005,"International financial statistics, March 2005",International Monetary Fund,copy 2,
64,2001,"Balance of payments statistics, July 2001",International Monetary Fund,,
65,2001,"Balance of payments statistics, August 2001",International Monetary Fund,,
66,2001,"Balance of payments statistics, September 2001",International Monetary Fund,,
67,2001,"Balance of payments statistics, October 2001",International Monetary Fund,,
68,2001,"Balance of payments statistics, November 2001",International Monetary Fund,,
69,2002,"Balance of payments statistics, December 2001",International Monetary Fund,,
70,2002,"Balance of payments statistics, January 2002",International Monetary Fund,,
71,2002,"Balance of payments statistics, February 2002",International Monetary Fund,,
72,2002,"Balance of payments statistics, March 2002",International Monetary Fund,,
73,2002,"Balance of payments statistics, April 2002",International Monetary Fund,,
74,2002,"Balance of payments statistics, May 2002",International Monetary Fund,,
75,1997,"TSE cd-rom products: common equities, securities J to Z. 1997 edition. Data to December 31, 1996",Canadian Financial Markets Research Centre (CFMRC),Disc 2 of 2.,
76,1997,"TSE cd-rom products: common equities, securities A to I. 1997 edition. Data to December 31, 1996",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 2.,
77,1996,"TSE-WBS non-common equity product. 1996 version. Data ending December 31, 1995",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 1,
78,1999,"TSE non-common equity product. 1999 edition. Data ending December 31, 1998",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 1,
79,1999,"TSE cd-rom products: common equities, securities A to I. 1999 edition. Data to December 31, 1998",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 2.,
80,1999,"TSE cd-rom products: common equities, securities J to Z. 1999 edition. Data to December 31, 1998",Canadian Financial Markets Research Centre (CFMRC),Disc 2 of 2.,
81,2000,"TSE cd-rom products: common equities, securities A to I. 2000 edition. Data to December 31, 1999",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 2.,
82,2000,"TSE cd-rom products: common equities, securities J to Z. 2000 edition. Data to December 31, 1999",Canadian Financial Markets Research Centre (CFMRC),Disc 2 of 2.,
83,2000,"TSE non-common equity product. 2000 edition. Data ending December 31, 1999",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 1,
84,2001,"TSE non-common equity product. 2001 edition. Data ending December 31, 2000",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 1. Copy 2,
84,2001,"TSE non-common equity product. 2001 edition. Data ending December 31, 2000",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 1.,
84,2001,"TSE non-common equity product. 2001.V1 edition. Data ending December 31, 2000.",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 1. Revision 1.,
85,2001,"TSE cd-rom products: common equities, securities A to I. 2001 edition. Data to December 31, 2000",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 2. Copy 2,
86,2001,"TSE cd-rom products: common equities, securities J to Z. 2001 edition. Data to December 31, 2000",Canadian Financial Markets Research Centre (CFMRC),Disc 2 of 2. Copy 2.,
87,2001,"TSE cd-rom products: common equities, securities A to I. 2001 edition. Data to December 31, 2000",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 2.,
88,2001,"TSE cd-rom products: common equities, securities J to Z. 2001 edition. Data to December 31, 2000",Canadian Financial Markets Research Centre (CFMRC),Disc 2 of 2.,
91,2001,"TSE cd-rom products: common equities, securities A to I. 2001.V1 edition. Data to December 31, 2000",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 2. Revision 1,
92,2001,"TSE cd-rom products: common equities, securities J to Z. 2001.V1 edition. Data to December 31, 2000",Canadian Financial Markets Research Centre (CFMRC),Disc 2 of 2. Revision 1,
93,2001,"TSE non-common equity product. 2001.V2 edition. Data ending December 31, 2000.",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 1. Revision 2.,
94,2001,"TSE cd-rom products: common equities, securities A to I. 2001.V2 edition. Data to December 31, 2000",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 2. Revision 2,
95,2001,"TSE cd-rom products: common equities, securities J to Z. 2001.V2 edition. Data to December 31, 2000",Canadian Financial Markets Research Centre (CFMRC),Disc 2 of 2. Revision 2,
96,2006,"Labour force historical review, 2005",Statistics Canada (71F0004XCB),CD1,
96,2006,"Labour force historical review, 2005",Statistics Canada (71F0004XCB),CD2,
96,2006,"Labour force historical review, 2005",Statistics Canada (71F0004XCB),CD3,
99,1998,Almanac of business and industrial financial ratios. 28th annual,"Troy, Leo",Publisher: Prentice Hall,
100,2001,Folketaellingen 1901,Dansk Data Arkiv,,
101,,"World trade database, 1980-1992",Statistics Canada. International Trade Division,,
102,,TIERS: trade information enquiry retrieval system: 1988-1990,Statistics Canada. International Trade Division,,
103,2007,"TSE cd-rom products: common equities, securities A to I. 2007 edition. Data to December 31, 2006",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 2.,
104,2007,"TSE cd-rom products: common equities, securities J to Z. 2007 edition. Data to December 31, 2006",Canadian Financial Markets Research Centre (CFMRC),Disc 2 of 2.,
105,2007,"TSE non-common securities. 2007 edition. Data ending December 31, 2006",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 1.,
106,2006,"TSE non-common securities. 2006 edition. Data ending December 31, 2005",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 1.,
107,,TIERS: trade information enquiry retrieval system: 1991-1993,Statistics Canada. International Trade Division,,
108,,TIERS: trade information enquiry retrieval system: 1994-1995,Statistics Canada. International Trade Division,,
109,2006,"TSE cd-rom products: common equities, securities A to I. 2006 edition. Data to December 31, 2005",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 2.,
110,2006,"TSE cd-rom products: common equities, securities J to Z. 2006 edition. Data to December 31, 2005",Canadian Financial Markets Research Centre (CFMRC),Disc 2 of 2.,
111,,Industrial monitor on cd-rom. November 1998,Statistics Canada,,
112,,"World trade database, 1980-1995",Statistics Canada,DLI,
113,,"Census [of Canada], 1991: public use microdata file, households and housing",Statistics Canada (95M0008XCB),DLI,
114,,"Census [of] Canada, 1986: profiles",Statistics Canada,,
115,,"Census of agriculture, 1996: cd-rom release 2.1",Statistics Canada (93F0031XCB),,
116,1997,Official voting results: thirty-sixth general election 1997,Chief Electoral Officer of Canada,,
117,,World trade analyzer 1988-2005,Statistics Canada (65F0016XCB),DLI,
118,,World trade analyzer 1988-2005: installation CD,Statistics Canada (65F0016XCB),DLI,
119,2005,"TSX cd-rom products: non-common equities, securities A to I. 2005 edition. Data to December 31, 2004",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 2.,
120,2005,"TSX cd-rom products: non-common equities, securities J to Z. 2005 edition. Data to December 31, 2004",Canadian Financial Markets Research Centre (CFMRC),Disc 2 of 2.,
121,2008,"Exports by country, January to December 2007",Statistics Canada (65-003-XCB),DSP,
122,2008,"Exports by commodity, December 2007",Statistics Canada (65-004-XCB),DSP,
123,2008,Demographic estimates compendium 2007,Statistics Canada (91-213-SCB),DSP,
124,2008,"Direction of trade statistics, April 2008",International Monetary Fund,,
125,,"PMB 2000 product cd, May 19, 2000",PMB Print Measurement Bureau,$$$,
126,,Employment dynamics 1997,Statistics Canada,DLI,
127,,PCensus database: Canada 1981 census 2A & 2B (EA),Tetrad ed.,$$$,
128,,"CANSIM disc, 2000-1",Statistics Canada (10F0007XCB),DLI,
129,,"Census, 1996: public use microdata file individuals (B2020 format) 1999-R ed.",Statistics Canada (95M0010XCB),DLI,
130,,"Census, 1996: public use microdata file families (B2020 format) 1999-R ed.",Statistics Canada (95M0012XCB),DLI,
131,,"Census, 1996: public use microdata file households and housing (B2020 format) 1999-R ed.",Statistics Canada (95M0011XCB),DLI,
132,,World development indicators on cd-rom 2004,World Bank,$,
133,,World development indicators 2001,World Bank,$,
134,,"Imports by commodity, November 2007",Statistics Canada (65-007-XCB),DSP,
135,2008,"Imports by country, January to December 2007",Statistics Canada (65-006-XCB),DSP,
136,2008,"Imports by commodity, December 2007",Statistics Canada (65-007-XCB),DSP,
137,,"Imports by country, January to September 2007",Statistics Canada (65-006-XCB),DSP,
138,,"Exports by commodity, October 2007",Statistics Canada (65-004-XCB),DSP,
139,,"Exports by commodity, November 2007",Statistics Canada (65-004-XCB),DSP,
140,2008,"International financial statistics, January 2008",International Monetary Fund,$,
141,2007,"International financial statistics, December 2007",International Monetary Fund,$,
142,2003,"KLEMS SIC 1961-1997, KLEMS NAICS 1961-2003",Statistics Canada,DLI,
143,2007,"Exports by country, January to September 2007",Statistics Canada (65-003-XCB),DSP,
144,2007,"Imports by commodity, September 2007",Statistics Canada (65-007-XCB),DSP,
145,,"Imports by country, January to September 2007",Statistics Canada (65-006-XCB),DSP - copy 2,
146,,"Exports by commodity, September 2007",Statistics Canada (65-004-XCB),DSP,
147,,"Financial performance indicators for Canadian business, vols 1,2,3, years 2004-2006",Statistics Canada (61-224-XCB),DLI,
148,2008,"Direction of trade statistics, May 2008",International Monetary Fund,$,
149,,"Saskatchewan maps 1976 & 1981: fed-ea, cma-ct, ct-ea (format: tiff)",Statistics Canada,,
150,,"Saskatchewan 1976 reference maps, series 2 (format: tif)",Statistics Canada,,
151,2006,"Historical reference maps: Saskatchewan 1981: fed-ea, cma-ct, ct-ea (format: tiff)",Statistics Canada,,
152,,Canada food stats 2007,Statistics Canada (23F0001XCB),DSP,
153,2008,"Labour force historical review, 2007 - cd1",Statistics Canada (71F0004XCB),DSP,
154,2008,"Labour force historical review, 2007 - cd2",Statistics Canada (71F0004XCB),DSP,
155,2008,"Labour force historical review, 2007 - cd3",Statistics Canada (71F0004XCB),DSP,
156,2001,Eurostat databases: Newcronos,European Communities,from M Alexopoulos,
157,2007,"Exports by country, January to June 2007",Statistics Canada (65-003-XCB),DSP,
158,2007,"Exports by country, January to September 2007",Statistics Canada (65-003-XCB),DSP - copy 2,
159,2007,"Imports by country, January to June 2007",Statistics Canada (65-006-XCB),DSP,
160,2007,"Imports by commodity, June 2007",Statistics Canada (65-007-XCB),DSP,
161,2007,"Imports by commodity, July 2007",Statistics Canada (65-007-XCB),DSP,
162,2007,"Imports by commodity, August 2007",Statistics Canada (65-007-XCB),DSP,
163,2007,"Imports by commodity, September 2007",Statistics Canada (65-007-XCB),DSP,
164,2007,"Imports by commodity, October 2007",Statistics Canada (65-007-XCB),DSP,
165,2007,"Exports by commodity, April 2007",Statistics Canada (65-004-XCB),DSP,
166,2007,"Exports by commodity, June 2007",Statistics Canada (65-004-XCB),DSP,
167,2007,"Exports by commodity, July 2007",Statistics Canada (65-004-XCB),DSP,
168,2007,"Exports by commodity, August 2007",Statistics Canada (65-004-XCB),DSP,
169,2007,"Exports by commodity, September 2007",Statistics Canada (65-004-XCB),DSP,
170,2007,"Exports by commodity, October 2007",Statistics Canada (65-004-XCB),DSP,
171,2003,"Turning statistics into stories, Toronto -- February 2003",Statistics Canada,,
172,2000,"Ozone data for the world, 1999",Environment Canada (ODW CD#1),,
173,,OECD health data 2000,OECD,,
174,,OECD health data 2002,OECD,,
175,,Applied statistics with Microsoft Excel,accompanies HD30.215 .K45 2001,,
176,,E-stat 1997,Statistics Canada (10f0016xcb (Mac) 10f0024xcb (DOS),DSP,
177,1996,"SABAL: small area business and labour database, 1996",Statistics Canada (61f0056xcb),,
178,1997,"National health and nutrition examination survey, III, 1988-1994","U.S. CDC - NCHS cd-rom series 11, no. 1A",$,
179,1996,Industrial monitor on cd-rom. October 1996,Statistics Canada,,
180,,1991 Census public use microdata file individuals,Statistics Canada (95m0007xcb),,
181,,1991 Census public use microdata file families,Statistics Canada (95m0009xcb),,
182,,"Survey of labour and income dynamics, public use microdata - wave 2, 1994",Statistics Canada (75m0001xcb),DLI,
183,1996,"National population health survey public use microdata files, 1994-1995",Statistics Canada (82f0001xcb),DLI,
184,2008,"Direction of trade statistics, February 2008",International Monetary Fund,$,
185,2008,"Direction of trade statistics, March 2008",International Monetary Fund,$,
186,2008,"Direction of trade statistics, June 2008",International Monetary Fund,$,
187,2008,"International financial statistics, February 2008",International Monetary Fund,$,
188,2008,"International financial statistics, June 2008",International Monetary Fund,$,
189,2008,"International financial statistics, July 2008",International Monetary Fund,$,in DMGC
190,2008-08,"TMX cd-rom products: Common equities, securities A to E. 2008 edition.",CFMRC,$ (OCUL),to A Georghie 08-08-11
191,2008-08,"TMX cd-rom products: Common equities, securities F to N. 2008 edition.",CFMRC,$ (OCUL),to A Georghie 08-08-11
192,2008-08,"TMX cd-rom products: Common equities, securities O to Z. 2008 edition.",CFMRC,$ (OCUL),to A Georghie 08-08-11
193,2008-07,cspe_ver201_swc SIFT professional ed. Version 2.0,CRSP,$,
194,2008-07,"cpz1_200806_slc CCM with research PDE, cut date, June 14, 2008 (Windows/Linux)",CRSP,$,
195,2008-07,"cpz1_200806_sbc CCM with research PDE, cut date, June 14, 2008 (Solaris)",CRSP,$,to A Georghie 08-08-11
196,2001,KLEMS P-level 1961-1997 version 2001/11,Statistics Canada,DLI backup,
197,2000,"Annual demographic statistics, 1999",Statistics Canada (91-213-XPB),DSP,
198,2001,"Annual demographic statistics, 2000",Statistics Canada (91-213-XPB),DSP,
199,2005,TSX cd-rom products: common equities securities A to I,CFMRC,$,
200,2005,TSX cd-rom products: common equities securities J to Z,CFMRC,$,
201,2002,"Annual demographic statistics, 2001",Statistics Canada (91-213-XPB),DSP,
202,2002-C,"Annual demographic statistics, 2001",Statistics Canada (91-213-XPB),DSP,
203,2007,"International financial statistics, March 2007",International Monetary Fund,$,
204,2007,"International financial statistics, April 2007",International Monetary Fund,$,
205,2007,"International financial statistics, June 2007",International Monetary Fund,$,
206,2007,"International financial statistics, May 2007",International Monetary Fund,$,
207,2007,"International financial statistics, July 2007",International Monetary Fund,$,
208,2007,"International financial statistics, August 2007",International Monetary Fund,$,
209,2007,"International financial statistics, October 2007",International Monetary Fund,$,
210,2007,"International financial statistics, September 2007",International Monetary Fund,$,
211,2006,"International financial statistics, December 2006",International Monetary Fund,$,
212,2006,"International financial statistics, November 2006",International Monetary Fund,$,
213,2007,"International financial statistics, February 2007",International Monetary Fund,$,
214,2007,"International financial statistics, January 2007",International Monetary Fund,$,
215,2006,"International financial statistics, October 2006",International Monetary Fund,$,
216,2006,"International financial statistics, September 2006",International Monetary Fund,$,
217,2006,"International financial statistics, August 2006",International Monetary Fund,$,
218,2006,"International financial statistics, July 2006",International Monetary Fund,$,
219,2006,"International financial statistics, June 2006",International Monetary Fund,$,
220,2006,"International financial statistics, May 2006",International Monetary Fund,$,
221,2006,"International financial statistics, April 2006",International Monetary Fund,$,
222,2006,"International financial statistics, March 2006",International Monetary Fund,$,
223,2006,"International financial statistics, February 2006",International Monetary Fund,$,
224,2006,"International financial statistics, January 2006",International Monetary Fund,$,
225,2005,"International financial statistics, November 2005",International Monetary Fund,$,
226,2005,"International financial statistics, December 2005",International Monetary Fund,$,
227,2005,"International financial statistics, September 2005",International Monetary Fund,$,
228,2005,"International financial statistics, October 2005",International Monetary Fund,$,
229,2005,"International financial statistics, July 2005",International Monetary Fund,$,
230,2005,"International financial statistics, August 2005",International Monetary Fund,$,
231,2005,"International financial statistics, May 2005",International Monetary Fund,$,
232,2005,"International financial statistics, June 2005",International Monetary Fund,$,
233,2007,"International financial statistics, November 2007",International Monetary Fund,$,
234,2005,"International financial statistics, April 2005",International Monetary Fund,$,
235,2001,Canada food stats November 2001,Statistics Canada (23F0001XCB),DSP,
236,2002,Canada food stats June 2002,Statistics Canada (23F0001XCB),DSP,
237,,"Canadian health & disability survey, 1984 (CHDSA84.nsdstat & CHDSY84.nsdstat)",Statistics Canada,,
238,,Canadian business patterns December 1988 to December 1995,Statistics Canada. Business Register Division,$,
239,,"Canadian community health survey cycle 1.1, 2000-2001 public use microdata file",Statistics Canada (82M0013XCB),DLI,
240,,Canadian international trade 1997-2000,Statistics Canada,DLI,
241,,"CANSIM disc, 1996-1",Statistics Canada,DLI,
242,,"CANSIM disc, 1997-1",Statistics Canada,DLI,
243,,"CANSIM disc, 1998-1",Statistics Canada (10F0007XCB),DLI,
244,,"CANSIM disc, 1998-1",Statistics Canada (10F0007XCB),DLI - prototype,
245,,"CANSIM disc, 1998-2",Statistics Canada (10F0007XCB),DLI,
246,,"CANSIM disc, 1999-1",Statistics Canada (10F0007XCB),DLI,
247,,"CANSIM disc, 1999-2",Statistics Canada (10F0007XCB),DLI,
248,,KLEMS P-level 1961-1997 version 2001/11,Statistics Canada,DLI,
249,,Census 1991: 1991 census profiles,Statistics Canada,$,
250,,Census 1996: 1996 census of agriculture cd-rom. Release 1,Statistics Canada (93F0031XCB),DLI,
251,1999-R,Census 1996: Dimensions series: Canadian income and earnings for 1990 and 1995,Statistics Canada (94F0005XCB),DLI,
252,1999,Census 1996: Dimensions series: ethno-cultural and social characteristics of the Canadian population,Statistics Canada (94F0004XCB),DLI,
253,1999-R,Census 1996: Dimensions series: ethno-cultural and social characteristics of the Canadian population,Statistics Canada (94F0004XCB),DLI,
254,2008,"International financial statistics, August 2008",International Monetary Fund,$,
255,2008,"Direction of trade statistics, June 2008",International Monetary Fund,$,
256,2008,"Direction of trade statistics, July 2008",International Monetary Fund,$,
257,2003,Annual demographic statistics 2002,Statistics Canada (91-213-XPB),DSP,
258,,Annual retail store data (ARSD/DACDM) 1999-2000,Statistics Canada,DLI,
259,,Annual retail store data (ARSD/DACDM) 1999-2000 - copy 2,Statistics Canada,DLI,
260,2003,"Canada food stats, November 2002",Statistics Canada (23f0001xcb),DLI,
261,2003,"Canada food stats, November 2003",Statistics Canada (23f0001xcb),DLI,
262,,Canada's retirement income programs 1991-2001,Statistics Canada (74-507xcb),DSP,
263,,"Canadian community health survey cycle 1.1, 2000-2001 public use microdata file - revised August 2003",Statistics Canada (82m0013xcb),DLI,
264,,"Canadian community health survey cycle 1.1, 2000-2001 public use microdata file - revised August 2003",Statistics Canada (82m0013xcb) - copy 2,DLI,
265,,"Canadian business patterns, December 2001",Statistics Canada,DLI,
266,,"Census of agriculture, 1996: cd-rom release 2",Statistics Canada (93f0031xcb),DLI,
267,,Census 1996: public use microdata file families. 1999 2nd revision (ie version 3),Statistics Canada (92f0086xcb),DLI,
268,,Census 1996: population and dwelling counts - postal code counts,Statistics Canada (95m0012xcb),DLI,
269,2003,Census 2001: [special interest tables] aboriginal peoples of Canada,Statistics Canada (94f0041xcb),DSP{(?),
270,2003,Census 2001: [special interest tables] aboriginal peoples of Canada,Statistics Canada (94f0041xcb) - copy 2,DSP{(?),
271,2003,Census 2001: [special interest tables] portrait of official language communities,Statistics Canada (94f0040xcb),DSP{(?),
272,2003,Census 2001: [special interest tables] portrait of official language communities,Statistics Canada (94f0040xcb) - copy 2,DSP{(?),
273,,"Financial performance indicators for Canadian business, vols 1, 2001",Statistics Canada,DLI,
274,,"Income trends in Canada, 1980-2001",Statistics Canada (13f0028xcb),DSP{(?),
275,,"Income trends in Canada, 1980-2001",Statistics Canada (13f0028xcb) - copy 2,DSP{(?),
276,1998,Inventory of Statistics Canada questionnaires - English disc (1:2),Statistics Canada (12-205-xcb),DLI (?),
277,1998,Inventory of Statistics Canada questionnaires - disque francais (2:2),Statistics Canada (12-205-xcb),DLI (?),
278,,World trade data 1980-1997; import & export data 1988-1998,Statistics Canada,DLI,
279,2003,Labour force historical review 2002: main tables. CD1-R (1:2),Statistics Canada (71f0004xcb),DSP{(?),
280,2003,Labour force historical review 2002: additional tables. CD2 (2:2),Statistics Canada (71f0004xcb),DSP{(?),
281,2008,"International financial statistics, October 2008",International Monetary Fund,$,
282,,Census 1996: [dimension series] labour force and unpaid work of Canadians,Statistics Canada (94f0006xcb),DSP{(?),282 MAY ACTUALLY BE 1996 DIMENSIONS PORTRAIT OF ABORIGINAL POPULATIONS
283,,Census 1996: [dimension series] Canadian income and earnings for 1990 and 1995,Statistics Canada (94f0005xcb),DSP{(?),
284,1999,Census 1996: [dimension series] labour force and unpaid work of Canadians,Statistics Canada (94f0006xcb) 1999-R,DLI,
285,1999,Census 1996: [dimension series] labour force and unpaid work of Canadians,Statistics Canada (94f0006xcb) 1999-R - copy 2,DSP{(?),
286,2008,"Direction of trade statistics, September 2008",International Monetary Fund,$,
287,2008,"International financial statistics, September 2008",International Monetary Fund,$,
288,,Census 1996: [dimension series] place of work of the Canadian population,Statistics Canada (94f0007xcb),DLI,
289,,Census 1996: [dimension series] place of work of the Canadian population,Statistics Canada (94f0007xcb) - copy 2,DSP{(?),
290,,Census 1996: [dimension series] Canadian demographic characteristics (including language and mobility),Statistics Canada (94f0008xcb),DLI,
291,1998,Census 1996: [dimension series] portrait of official language communities in Canada,Statistics Canada (94f0010xcb),DLI,
292,1999,Census 1996: [dimension series] portrait of aboriginal population in Canada,Statistics Canada (94f0011xcb),DLI,
293,1999,Census 1996: [dimension series] portrait of aboriginal population in Canada,Statistics Canada (94f0011xcb) - copy 2,DSP (?),
294,1997,Census 1996: [nation series] edition 1,Statistics Canada (93f0020xcb96001),DSP (?),
295,1997,Census 1996: [nation series] edition 1,Statistics Canada (93f0020xcb96001) - copy 2,DSP (?),
296,1998,Census 1996: [nation series] edition 2,Statistics Canada (93f0020xcb96002),DSP (?),
297,1998,Census 1996: [nation series] edition 3,Statistics Canada (93f0020xcb96003),DSP (?),
298,1998,Census 1996: [nation series] complete edition,Statistics Canada (93f0020xcb96004),DSP (?),
299,1998,"Census 1996: [profile series] Canada, all levels of geography",Statistics Canada (95f0253xcb96000),DSP (?),
300,1999,Census 1996: public use microdata file household and housing,Statistics Canada (95m0011xcb),DLI,
301,,Census 1996: georef,Statistics Canada (92f0085xcb),DLI,
302,,Census 1996: georef - revised (?),Statistics Canada (92f0085xcb),DLI,
303,1999,Census 1996: public use microdata file individuals,Statistics Canada (95m0010xcb),DLI,
304,1999,Census 1996: public use microdata file families. 1999 2nd revision (ie version 3),Statistics Canada (95m0012xcb),DLI,
305,1998,"Census 1996: SNF, SNFEF",Statistics Canada,DLI,
306,1998,"Census 1996: SNF, SNFEF - copy 2",Statistics Canada,DLI,
307,2001,"Econnections: linking the environment and the economy. Indicators and detailed statistics, 2000",Statistics Canada (16-200-xke),DSP (?),
308,2002,Census 2001: geosuite,Statistics Canada (92f0085xcb),DSP (?),
309,2002,"Census of agriculture, 2001: farm data: full release",Statistics Canada (95f0354xcb),DLI,
310,2002,"Census of agriculture, 2001: farm data and farm operator data: full releases",Statistics Canada (95f0354xcb),DLI,
311,1997,"Econnections: linking the environment and the economy. Indicators and detailed statistics, 1997-R (revised)",Statistics Canada (16-200-xke),DSP (?),
312,2003,Project ACE project: administration and cost of elections. Version 1 2003,ACE Project,$ (?),
313,,AHA annual survey database for fiscal years 1990 & 1995,Health Forum,$,
314,,AHA annual survey database for fiscal year 2000,Health Forum,$,
315,2000,Census 1991 [UK]: Samples of anonymised records from the 1991 census,"Manchester: University of Manchester, CCSR",,
316,2001,"DRI basic economics, Sept 2001",DRI-WEFA,$,
317,2001,"Cross-national time series database, 2001 (Bank's data)",Computer Solutions Unlimited,$,
318,1999,"Education at a glance, 1999",OECD,$,
319,2008,"Direction of trade statistics, October 2008",International Monetary Fund,$,
320,2002,"TSX non-common equities: securities A to Z. 2002 edition. Data ending December 31, 2001.",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 1.,
321,2002,"TSX cd-rom products: common equities, securities J to Z. 2002 edition. Data to December 31, 2001",Canadian Financial Markets Research Centre (CFMRC),Disc 2 of 2.,
322,2002,"TSX cd-rom products: common equities, securities A to I. 2002 edition. Data to December 31, 2001",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 2.,
323,2003,"TSX cd-rom products: common equities, securities A to I. 2003 edition. Data to December 31, 2002",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 2.,
324,2003,"TSX cd-rom products: common equities, securities J to Z. 2003 edition. Data to December 31, 2002",Canadian Financial Markets Research Centre (CFMRC),Disc 2 of 2.,
325,2003,"TSX non-common equities: securities A to Z. 2003 edition. Data ending December 31, 2002.",Canadian Financial Markets Research Centre (CFMRC),Disc 1 of 1.,
326,,National sample of the 1901 census of Canada,Canadian Families Project,,
327,,Covered employment and wages CEW/ES-202,U.S. BLS,"$ - disk # 2, version 3",
328,,Covered employment and wages CEW/ES-203,U.S. BLS,"$ - disk # 3, version 1",
